,loc,country
3148,"montbéliard, france",france
3149,𝑩𝒍𝒂𝒄𝒌 𝑪𝒍𝒐𝒗𝒆𝒓🧙‍♂️🖤,-
3150,grrr,españa
3151,"terre, europe ",france
3152,cosmos,brasil
3153,air temple,france
3154,cote d,france
3155,"42 wallaby way, sydney.",australia
3156,"48.851579,2.477743",france
3157,"vire, france",france
3158,where there's good food ,-
3159,en cours de localisation....,-
3160,europe ,ōu
3161,"pont-aven, france",france
3162,abroad,قطر
3163,montréal et québec.,canada
3164,imane ma wife,-
3165,montréal. ,canada
3166,jamais très loin du vieux port,-
3167,afrique de l'ouest,sénégal
3168,saint-denis ile de la réunion,-
3169,colombes 4c,uruguay
3170,𝖣𝖳𝖢,-
3171,vitré (35),france
3172,carpe diem,france
3173,"alaska, usa",united states
3174,corse ajaccio,france
3175,dalleomite#5801 ,-
3176,"vannes, france",france
3177,guelma                        ,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3178,savigny sur orge - essonne,france
3179,57000,malaysia
3180,chez moi,france
3181,"rio de janeiro, brésil",brasil
3182,krautergersheim,france
3183,sud,cameroun
3184,biosphère terrestre,-
3185,hauts-de-seine/île-de-france,france
3186,nano,guinée
3187,"terrebonne, québec",canada
3188,"condom, gers, occitanie",france
3189,"vigneux-sur-seine, france",france
3190,sunu keur ,guiné-bissau
3191,bretagne finistère,france
3192,francercx,-
3193,saint-quentin,france
3194,"beauvais, amiens, france",france
3195,"sens, france",france
3196,hinamizawa,-
3197,la loupe,france
3198,france tarn et garonne,france
3199,post-france,france
3200,"brasilia, brésil",brasil
3201,"sens, bourgogne",france
3202,"vaulx-en-velin, france",france
3203,"brooklyn, ny",united states
3204,oswald state correctional ,-
3205,"argenteuil, france",france
3206,in and out of this world.,-
3207,france libre soldat numérique ,-
3208,asnières grésillons,france
3209,taza,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3210,paris 🇫🇷🌎. tweets fr/en/es,-
3211,"montigny-lès-metz, france",france
3212,coin paumé,-
3213,normandie  ,france
3214,mutsa / 18 / 🇫🇷,-
3215,planete bleu,-
3216,bretagne...,france
3217,"chamberí, madrid, españa",españa
3218,"lit-et-mixe, france",france
3219,"cove bay, scotland",united kingdom
3220,she / her ,polska
3221,🌌 ,-
3222,dans mes pensées,-
3223,delaissée,france
3224,"praia do pedrogao, portugal ",portugal
3225,dans les alpes. autour du mont dolent.,-
3226,krakoa she/her,-
3227,"alpes-maritimes, provence-alpe",france
3228,"saguenay, québec",canada
3229,monte carlo ,monaco
3230,"pont-audemer, france",france
3231,montréal ,canada
3232,nord-pas-de-calais,france
3233,trop loin de l'ihu 👍 👍 👍 👍,-
3234,"cinq-mars-la-pile, france",france
3235,c nwar arrête arrête arrête,-
3236,she/they,united states
3237,route des almadies - tfm,-
3238,à la campagne sans télévision,-
3239,wano kuni,-
3240,chalon-sur-saône,france
3241,créteil 📍,france
3242,bordeaux (france),france
3243,s💍,österreich
3244,breizhmabro,-
3245,lille 🇫🇷 | 🇧🇪 antwerpen 🦁,belgië / belgique / belgien
3246,art account @ast.colombini,-
3247,"etréchy, france",france
3248,bordeaux/cayenne ,-
3249,malaysia.,malaysia
3250,"gatineau (secteur aylmer), qc",-
3251,"new york, usa",united states
3252,"葉ずれさやけき杜の都  sendai, japan",-
3253,"bron, france",france
3254,91 ,france
3255,"clarksville, tn",united states
3256,"armentières, france",france
3257,"rocky hill, ct",united states
3258,@opopope@mamot.fr,-
3259,"rochefort, france",france
3260,clermont-fd,barbados
3261,lyon - wahran,-
3262,paris - nantes - dubai,-
3263,"maine-et-loire, pays de la loire",france
3264,"mayenne, france",france
3265,"lausanne, vaud",schweiz/suisse/svizzera/svizra
3266,montpellier / london / geneva,-
3267,"boulogne-sur-mer, france",france
3268,la ferté,france
3269,sèvres - france,france
3270,tel aviv • kiev • paris,-
3271,lost in reality,-
3272,he/she,中国
3273,centre dakar,ישראל
3274,"montreal, quebec, canada",canada
3275,bretagne france,france
3276,entre lorraine et rhone alpes,-
3277,france hauts de france,france
3278,@quirkyslytherin ❤️,-
3279,somewhere only we know,-
3280,"río negro, argentine",argentina
3281,#japan or #genève #geneva 🇨🇭,-
3282,"châlons-en-champagne, france",france
3283,"nul part, c'est bien comme ça",-
3284,"saint-denis, france.",france
3285,occitanie (libre),france
3286,"côte d'ivoire, adiaké",côte d’ivoire
3287,ch 2500 - 2800 - e galicia,-
3288,clermont ferrand,france
3289,la caraïbe.,france
3290,italie,italia
3291,"l'estaque, marseille, france",france
3292,france-carcassonne,france
3293,#alliancedesdroites,-
3294,"long beach, ca",united states
3295,hale end❤️,united kingdom
3296,san cyro 78,-
3297,en israel,palestinian territory
3298,dans mon arbre à chat.,-
3299,🇲🇦rabat,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3300,"loire, haute-loire",france
3301,"lyon, france ",france
3302,"nouméa, paris",france
3303,laurentides ,canada
3304,mon pays: decazeville; aveyron,-
3305,"saint-pierre eynac , france",france
3306,"tulle, limousin",france
3307,"paris, limoges. france",france
3308,france bfc,france
3309,vitry-city,france
3310,pas-de-calais,france
3311,méditerranée ,brasil
3312,niort,france
3313,mâcon (71),united states
3314,"732, poitiers",france
3315,là bas,france
3316,"le monde , the world , die welt , il mondo etc.......",-
3317,"montataire, france",france
3318,dinard,france
3319,avignon ( france ),france
3320,not cisgendered,-
3321,au sud,france
3322,"москва, люберцы",россия
3323,"manitoba, canada",canada
3324,"florensac, france",france
3325,"manchester, england",united kingdom
3326,belgique france,belgië / belgique / belgien
3327,"vallauris, provence-alpes-côte d'azur",france
3328,waterloo (ontario),canada
3329,9km à droite après narnia,-
3330,"templemars, france",france
3331,censored,-
3332,"québec, canada, amérique nord",canada
3333,"estuaire, gabon",gabon
3334,ovunque mi piaccia,-
3335,saturne,france
3336,paris nord - aubervilliers,france
3337,grande-synthe,france
3338,haute pyrenee ,-
3339,basse bretagne,france
3340,wano-kuni,-
3341,française ,france
3342,france 🇨🇵,france
3343,derb tebbala,-
3344,#france,france
3345,saint-martin     ,france
3346,paris 18 ,france
3347,trouve moi si tu peux,-
3348,que ma bf👯‍♀️,-
3349,on dirait le sud / paris,-
3350,"bois-guillaume-bihorel, france",france
3351,"gatineau, québec",canada
3352,entre lyon et sète...,-
3353,challans,france
3354,"jerusalem, palestine.",ישראל
3355,#paris  & #normandie  #france,france
3356,"corte , corse  ",france
3357,ardèche .ruoms ,france
3358,"département de l'eure, france",-
3359,centre,france
3360,fr / it ,italia
3361,on avance et puis on voit,-
3362,"warszawa, mazowieckie",polska
3363,paris kenitra tiflet,-
3364,gothamcity,-
3365,retraité    hossegor,-
3366,saint jean de niost 01800,france
3367,"milano, lombardia",italia
3368,st malo bretagne ,france
3369,"lyon, algérie",france
3370,j'habite chez mon chat,-
3371,quebec city centre ville de  charlesbourg,-
3372,ba sing se,-
3373,"osny, france",france
3374,le mans - angers,france
3375,"dallas, tx",united states
3376,impel down,-
3377,"berck, france",france
3378,rive-sud,france
3379,toulouse (france),france
3380,"québec, by the lake",canada
3381,follow the white rabbit.,south africa
3382,france affaiblie et occupée,-
3383,quelques part dans le monde,-
3384,le havre,france
3385,rhône france,france
3386,france sud ouest,france
3387,they them + namtaekook,-
3388,nimes  gard ,france
3389,cannes fr et miami usa,-
3390,hautes-pyrénées - tarbes,france
3391,dans ton c....omputer,-
3392,france - she/elle,-
3393,"la réunion, france",france
3394,paris 16ème,france
3395,grenoble france europe,france
3396,yvelines,france
3397,"grande-synthe, france",france
3398,"dreux, france",france
3399,hes,türkiye
3400, 🌎 ,-
3401,coronaland ,-
3402,σινώπη,türkiye
3403,"nantes, francer",-
3404,"aix-les-bains, france",france
3405,avion d’h1ghr music,-
3406,"lemans,20rued'italiechckpt🇫🇷",-
3407,"le blanc-mesnil, france",france
3408,"west midlands, england",united kingdom
3409,"plomeur 29 s, côtes d'armor 22",-
3410,panthéon-assas ,france
3411,"paris ,abidjan",france
3412,france - occitanie,france
3413,zagreb,hrvatska
3414,en train de faire une sieste,-
3415,france strasbourg,france
3416,"hackney, london",united kingdom
3417, planet earth ,ประเทศไทย
3418,morio ,tchad تشاد
3419,nul part,france
3420,94 📍,france
3421,france/portugal/luxembourg/it,-
3422,"shanghai, chine",中国
3423,"rosporden, bretagne",france
3424,elsaß-lothringen ,france
3425,namibie\windoek ,namibia
3426,93.2/78,brasil
3427,"estrie, canada",canada
3428,draveil (91210),france
3429,república de catalunya,españa
3430,"bernissart, belgique",belgië / belgique / belgien
3431,j'sais même pas 🉐️🈸️,-
3432,"maranello, emilia romagna",italia
3433,"autun, france",france
3434,"montreuil, france",france
3435,1070,belgië / belgique / belgien
3436,not there,france
3437,la kay manmanw,-
3438,j'ai pas eu mon brevet ,-
3439,monde ,france
3440,sentann  97180,-
3441,93📍,france
3442,israël (proche de gaza),-
3443,"valencia, spain",españa
3444,bougnat de retour là,-
3445,presqu’ile des sarcasmes,-
3446,"spain, without the s",-
3447,quelque part dans l'univers 🦓,-
3448,38,france
3449,ligue 1  ⬆️,philippines
3450,monde عالم worldwide,-
3451,cali,colombia
3452,lille/lens,france
3453,saint esprit martinique wi,-
3454,amsterdam - milan,italia
3455,"dakar, paris, nice ou...",-
3456,"paris, macronie 🇹🇷",-
3457,"grigny, france",france
3458,occitanie - paris - corse2a,-
3459,"mortefontaine, aisne , hauts d",france
3460,,deutschland
3461,"france, algérie",france
3462,"golbey, france",france
3463,"montréal, québec / espagne",-
3464,rodez / saint-étienne,france
3465,vosges ,france
3466,duché de lorraine ,france
3467,şuşa,azərbaycan
3468,"valparaíso, chili",chile
3469,damgan,france
3470,"who cares, it's my planet too",-
3471,frança,france
3472,france/bahrain ,البحرين
3473,"poissy, france",france
3474,villabé,france
3475,saint-gilles brussels,belgië / belgique / belgien
3476,ys,ประเทศไทย
3477,liege,belgië / belgique / belgien
3478,scottish borders,united kingdom
3479,"habana ciudad, cuba",cuba
3480,rive-sud represent,-
3481,republik de la bonne pensee ,-
3482,compi ¦ ds le coeur à shisui ,-
3483,☉ aquarius ☽ scorpio ↑ leo,-
3484,"chamalières, france",france
3485,1m95,-
3486,vers bordeaux,france
3487,estrie,canada
3488,"deauville, france",france
3489,fr ch ny exchercheurprserpinet,-
3490,"beirut, lebanon",لبنان
3491,rabat malgré moi,-
3492,guadeloupe / martinique.✨,france
3493,calais,france
3494,mandé,mali
3495,wehrmacht army,-
3496,orléans / tours,france
3497,france dans l'yonne 89100,-
3498,delémont - jura - switzerland,schweiz/suisse/svizzera/svizra
3499,"mouscron, belgique",belgië / belgique / belgien
3500,"vesoul, franche-comté",france
3501,"la faute-sur-mer, france",france
3502,sint maarten,nederland
3503,arras,france
3504,los angeles / guadalajara,españa
3505,"wissous, france",france
3506,en pays totalitaire.,-
3507,taxxnam,-
3508,"majastres, france",france
3509,"ile-de-france, france 🇫🇷",france
3510,arcis sur aube,france
3511,au choucas,france
3512,"mérignac, france",france
3513,breizh bretagne,france
3514,"les moulins, québec",canada
3515,"fegersheim, france",france
3516,sauzet drome rhone alpes,france
3517,"orléans, evry ",france
3518,la boutique.,argentina
3519,tashirojima,日本
3520,bruxelles vie ,belgië / belgique / belgien
3521,saint-pierre-sur-dives,france
3522,bruxhell,-
3523,"béjaïa                                                                                            , algeria",algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3524,"seewis im prättigau, schweiz",schweiz/suisse/svizzera/svizra
3525,"74, 🇩🇿",france
3526,centre bretagne,france
3527,dans ton lit,-
3528,jss mineure ,-
3529,"saint-tropez, france",france
3530,75019,france
3531,boulogne-sur-mer,france
3532,démodé ,brasil
3533,xix,suomi / finland
3534,"treaty 1: winnipeg, mb",-
3535,mougins / troyes,-
3536,nantes       france,france
3537,f.w.i martinique,-
3538,"world golf village, fl",united states
3539,"haute savoie , france",france
3540,"coulommiers, ile-de-france",france
3541,"moulins, france",france
3542,auvèrnha,france
3543,"lubelskie, polska",polska
3544,"berlaimont, france",france
3545,instagram: soumiaofficiel ,-
3546,"47.742765, 7.348006",france
3547,"9 rue front, gatineau (aylmer)",canada
3548,la réole 33190,france
3549,landrethun-city,-
3550,tout en bas de la pyramide.,-
3551,"genève, suisse 🇨🇭",schweiz/suisse/svizzera/svizra
3552,idf et var,france
3553,"manhattan, ny",united states
3554,"paris09, france",-
3555,midi-pyrénées,france
3556,"haute-corse, corse",france
3557,lîdje,belgië / belgique / belgien
3558,agde,france
3559,quelque part...,france
3560,quelque part sur la planète ,-
3561,highest in the room ,-
3562,avec ponyo,-
3563,ioūanacaëra,-
3564,"red-light district, kamurocho",-
3565,"toulon, var 83 france ",france
3566,aquì y ahora,españa
3567,exopinkzen ♡ 23 ; she/her ,-
3568,86/91 ,беларусь
3569,"haguenau, alsace",france
3570,cotentin mon gamin!,-
3571,everywhere 👁️,ελλάς
3572,castle of glass,united kingdom
3573,sous tes tweets ,-
3574,"chelles, france",france
3575,"کوئٹہ, پاکستان",پاکستان
3576,"uvsq, guyancourt, france",france
3577,mogadiscio,soomaaliya الصومال
3578,rbx,philippines
3579,france - lgc,france
3580,allianz arena,deutschland
3581,ravenclaw ,united states
3582,à proximité de paris  ,-
3583,france eternelle,france
3584,"doubs, franche-comté",france
3585,le havre france,france
3586,au bout du monde,france
3587,"grenade, espagne",españa
3588,rue de la paix,france
3589,brazil,brasil
3590,sénègal,sénégal
3591,"hérault,sud,soleil☀️",france
3592,narbonne | casablanca,-
3593,"paris , caen, nantes",-
3594,3a en albion,mauritius
3595,haute savoie,france
3596,"kinshasa, r.d.c",-
3597,13.,france
3598,2020 annee de merde,-
3599,"36°26'56.5""n, 4°13'40.7""e",algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3600,south france,عمان
3601,pas loin,france
3602,grayan-et-l'hôpital,france
3603,"kali-yuga bzh, dyslexique !",-
3604,"oissel, france",france
3605,senegal - france,france
3606,south france (actually),-
3607,drome france,france
3608,"madrid, comunidad de madrid",españa
3609,"mississippi, usa",united states
3610,"paris, strasbourg, rennes",france
3611,🇧🇪,-
3612,mulhouse,france
3613,"tokyo-to, japan",日本
3614,from scratch ,united states
3615,🇫🇷~ 🇫🇮 + 🇲🇺🇨🇦🇬🇧,-
3616,"nantes, duché de bretagne",france
3617,région paca,slovensko
3618,✈️en direct du cap nord💨❄️,-
3619,paris ~ french riviera,-
3620,nancy-paris-biarritz,-
3621,"hazebrouck, france",france
3622,winterfell,united states
3623,"paris, france - cali, colombia",-
3624,"même nom sur ""parler""",-
3625,"eysines, france",france
3626,ou je veux,-
3627,"lorraine, luxembourg ",france
3628,reims / paris 17,france
3629,thousand sunny ,united states
3630,lamentin. martinique,france
3631,"gironde, nouvelle-aquitaine.",france
3632,qlf reccord,-
3633,"vienne, poitou-charentes",france
3634,"drôme, ardèche",france
3635,"26, rue saint-guillaume, paris",france
3636,châtel-st-denis / verbier,-
3637,sin city,australia
3638,europe nation,-
3639,hell,united states
3640,the world is my home,-
3641,au milieu de nulle part,belgië / belgique / belgien
3642,in my tesla model 3 ;),-
3643,"piré-sur-seiche, france",france
3644,"paris, tn",united states
3645,"brunssum, nederland",nederland
3646,space nova.,united states
3647,gaza,palestinian territory
3648,"fayence, france",france
3649,"paspébiac, québec",canada
3650,orne,france
3651,neuville-en-ferrain,france
3652,sur aldebarran. ,-
3653,"pittsfield, ma",united states
3654,dans ma chambre,-
3655,in your mind now,-
3656,in seonghwa's heart ♡ he/him,-
3657,"alzing, france",france
3658,saint-quentin (02100),france
3659,seoul/korea,대한민국
3660,"perugia, umbria",italia
3661,south germany ,deutschland
3662,"la défense, hauts de seine",france
3663,blackpink 💓,australia
3664,"st-jean de braye, france",france
3665,le voyageur,france
3666,"diego suarez, libertalia",madagasikara / madagascar
3667,un lugar del mundo la tierra,-
3668,eure,france
3669,tamil eelam/ paris,-
3670,une abbaye médiévale fortifiée,-
3671,bordeaux fr / pinhel pt,-
3672,love yourself ,deutschland
3673,"aix, stuttgart,new-york",-
3674,38 city,éire / ireland
3675,"le teich, france",france
3676,versailles,france
3677,all around the 🌏🌍🌎.,united states
3678,royaume des souverains,-
3679,"honfleur, basse-normandie",-
3680,puteaux,france
3681,"tas,smg,mrc",-
3682,europe 🇪🇺,ōu
3683,argentat sur dordogne corrèze ,france
3684,compte parodique,-
3685,bisounoursland,-
3686,"ottumwa, ia/kirksville, mo",-
3687,mexique,méxico
3688,caen ,france
3689,les mureaux ,france
3690,i wish i knew,-
3691,creteil france,france
3692,avignon ,france
3693,"quiberon, france",france
3694,"são paulo, brasil",brasil
3695,"le port, la réunion",france
3696,peneloppe192@protonmail.com ,-
3697,93.5 à parispp,-
3698,"brive-la-gaillarde, france",france
3699,from the dining table ,-
3700,astroworld,united states
3701,friesland / fryslan,nederland
3702,"nancy, lorraine, france",france
3703,"toulouse, midi-pyrénées",france
3704,océanie,oceania
3705,"trouville-sur-mer, france",france
3706,french riviera,france
3707,rochefort,france
3708,saint-philbert-de-grand-lieu,france
3709,"berlin, deutschland",deutschland
3710,deuil-la barre (95) fr.,france
3711,south florida,united states
3712,sur la planète en délire 😒,-
3713,casablanca ,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3714,"biguglia, france",france
3715,wild wild west,österreich
3716,"chasnais, vendée, france ",france
3717,vagabond ,united states
3718,punk hazard,-
3719,en dictature ,-
3720,ses vous,france
3721,allemagne 1933,deutschland
3722,rainbow,united states
3723,paris - martinique,france
3724,ni de droite ni de droite,france
3725,to lose !,france
3726,"oujda, royaume du maroc",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3727,"guéret, creuse",france
3728,paris intra-muros,belgië / belgique / belgien
3729,"tel aviv, israel",ישראל
3730,"france, vernon, eure",france
3731,r.d.congo,brasil
3732,"cambridge, england",united kingdom
3733,"saint-andré, la réunion",france
3734,"ain, france",france
3735,lève les yeux.....,-
3736,shin sekai,-
3737,paris 75 ,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3738,ottawa - gatineau,canada
3739,"levis, qc",canada
3740,donetsk,україна
3741,nice ,france
3742,planète terre🌎 🇲🇫♥️🇲🇫,france
3743,rosheim dans le bas-rhin,-
3744,kabylie,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3745,zd$ ,france
3746,blankenberge,belgië / belgique / belgien
3747,"42 wallaby way, sydney",australia
3748,fr,france
3749,ou tu veut jm bas les couiles ,-
3750,"ensenada, baja california",méxico
3751,"neauphe-sous-essai, france",france
3752,idk,philippines
3753,on a planet named earth,-
3754,grenoble alpes métropole,france
3755,la rochelle ,france
3756,paris-konoha,-
3757,par-ci par-là ,france
3758,"montreal, quebec",canada
3759,vers  l'∞ & →,nederland
3760,cahors-figeac,france
3761,mon putain d'immeuble.,-
3762,icitte.  ,-
3763,"saint-lys, france",france
3764,paris | she/her,-
3765,"pully, suisse",schweiz/suisse/svizzera/svizra
3766,🇩🇿♓,-
3767,elbaf,-
3768,far away.,portugal
3769,♡ ⃗  bae joohyun ,-
3770,#asnieres,france
3771,"plonévez-du-faou, france",france
3772,"rabat, maroc",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
3773,"saumur, france",france
3774,timide,france
3775,🫀,-
3776,ch,schweiz/suisse/svizzera/svizra
3777,lιbᥱrtᥱ́ ᥱ́gᥲᥣιtᥱ́ frᥲtᥱrᥒιtᥱ́,-
3778,"brownsburg-chatham, québec",canada
3779,houilles / marseille ,-
3780,rhône  ,france
3781,"cassis, france",france
3782,"crois ô bienfaits d'eva, corse",-
3783,terre du milieu,france
3784,"braga, portugal",portugal
3785,"badalona, espanya",españa
3786,panam banlieu sud ,-
3787,france 🇫🇷 lille.          ,france
3788,"amiens, picardie",france
3789,"saint-fargeau-ponthierry, fran",-
3790,"gaël, bretagne, france",france
3791,"fort frances, ontario",canada
3792,"santo domingo este, dominican ",república dominicana
3793,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,-
3794,matam city ,guinée
3795,"drancy, france",france
3796,orléans / romorantin ,france
3797,mexico,méxico
3798,clermont city gang,-
3799,"paris, bordeaux",france
3800,jument verte ,france
3801,"florange, lorraine",france
3802,vrai songe  voie lactée,-
3803,kalokairi,-
3804,tatooine ,united states
3805,port-gentil /gabon ,gabon
3806,"venette, france",france
3807,"inverness, scotland",united kingdom
3808,montreal/florida,united states
3809,at disneyland w yuuji itadori,-
3810,"vendée, france",france
3811,"meudon, france",france
3812,"freetown, ma",united states
3813,quai 9¾ king's cross,-
3814,"campagnolles, france",france
3815,yaoundé - cameroun,cameroun
3816,londres,united kingdom
3817,"yonne, bourgogne",france
3818,cikampek (west java). 🇮🇩 ,indonesia
3819,ieseg,france
3820,"koweït, koweït",الكويت
3821,"roquevaire, france",france
3822,"candiac, québec",canada
3823,avignon - nice 🇫🇷 🇪🇺,france
3824,france - belgique,belgië / belgique / belgien
3825,"i̇stanbul, türkiye",türkiye
3826,", france",france
3827,dans mes pensées! ,-
3828,montréal-canada,canada
3829,localisation en cours...,-
3830,افغانستان,افغانستان
3831,maldives,ދިވެހިރާއްޖެ
3832,pont a mousson,france
3833,straight outta bandjoun,-
3834,france & around world,-
3835,asile d'arkham,-
3836,vitry-sur-seine,france
3837,st-andré-lez-lille / paris 18e,-
3838,in between here and there,united kingdom
3839,bretagne sud,france
3840,duché de normandie,france
3841,je sais pas,-
3842,toronto,canada
3843,ukraine,україна
3844,cancún,méxico
3845,cantons-de-l'est,canada
3846,quelque part ,france
3847,montagny (sud de lyon) france,-
3848,*gorillaz enthusiast*,-
3849,castres ,france
3850,village des schtroumpfs,perú
3851,royaume de takicarkie,-
3852,"kinshasa,d.r.congo",république démocratique du congo
3853,dünya,бългaрия
3854,"dans le gers, qlq part ",-
3855,coeur de damso,-
3856,nord - pas de calais,france
3857,greater montreal,united kingdom
3858,est,eesti
3859,"nancy, lorraine",france
3860,974 l’hermitage ,france
3861,"moncton, new brunswick",canada
3862,in her heart,-
3863,tour celeste ,-
3864,92100 / 92700,france
3865,"berre-l'etang, france",france
3866,"je me le demande, vraiment...",-
3867,alsanorm,-
3868,ton trou,belgië / belgique / belgien
3869,frankistan,-
3870,"salta, argentina",argentina
3871,ربنا يحميك,-
3872,grand line ,россия
3873,ameliafouques@lexsportiva.ca,-
3874,siete siete,perú
3875,"bruxelles, 1140 evere zoo ",belgië / belgique / belgien
3876,strasbourg - helsinki,france
3877,"paris, france.",france
3878,nice france (06),france
3879,"saint-dizier, france",france
3880,"meudon, ile-de-france",france
3881,univers parallèle,france
3882,"laval, canada",canada
3883,la longue rue (oui ça existe),-
3884,"nice, provence-alpes-côte d'azur",france
3885,les sables d'olonne,france
3886,monacoland,-
3887,"rennes, apulia",-
3888,marseille-sanary  var ...,-
3889,🇨🇲🇮🇹,-
3890,"saint-andré-des-eaux, france",france
3891,some place higher,-
3892,anywhere,malawi
3893,"villeurbanne, france",france
3894,on earth,canada
3895,universités parisiennes,-
3896,neverland ,united kingdom
3897,16.11.2016 bb 🤲🏾,-
3898,un endroit ,-
3899,eastern laval,canada
3900,quelque part au bas-canada,-
3901,"laval, qc",canada
3902,limoges // beaublanc ,france
3903,in the clouds,united states
3904,"caudebronde, france",france
3905,"waterloo, belgium",belgië / belgique / belgien
3906,metz ,france
3907,kentucky,united states
3908,a ta gauche,france
3909,¿,-
3910,(((freedom))),united states
3911,abidjan et ouagadougou,-
3912,around the world,canada
3913,lot,france
3914,"carcassonne, france",france
3915,"maisons, france",france
3916,"pau, aquitaine",france
3917,rosny sous bois ,france
3918,"france, normandie",france
3919,"montreal, quebec ",canada
3920,"stockholm, suède",sverige
3921,?,-
3922,gouldomarxozinovievawallonien,-
3923,💔,-
3924,"levis, qc.",canada
3925,"qin, jouto",-
3926,roquebrunecapmartin ,-
3927,n,niuē
3928,pyramide du louvre,france
3929,l enfer,france
3930,metz (france),france
3931,rivières-des-prairies-pointe-a,-
3932,dans la cuisine,france
3933,vienne autriche,österreich
3934,"alençon, france",france
3935, région hauts-de-france,france
3936,paris-montréal,france
3937,fl usa ,united states
3938,synchronicity wave,-
3939,vitré,france
3940,devant le pc à appuyer sur v,-
3941,brest-même city beach,france
3942,"paris, lille, france",france
3943,anti lrem et anti gauche ,-
3944,"las palmas de gran canaria, es",españa
3945,"maizières-lès-metz, lorraine",france
3946,hyeres,france
3947,hyuck☀,-
3948,le peu d’occident qu’il reste.,-
3949,sous ton lit,-
3950,south east asia,new zealand / aotearoa
3951,sciences po paris / orleans,-
3952,trou du cul du monde,-
3953,planeta tierra,chile
3954,"france🇫🇷 ,dans une amphore🏺",-
3955,"ottawa, ontario 🇧🇲",canada
3956,"sélestat, france",france
3957,"bzh chispa
@chispa@mstdn.socia",-
3958,jenemeconfineraipas,-
3959,"baltimore, md saratoga street",united states
3960,far far away,singapore
3961,"verneuil-sur-seine, france",france
3962,"paris, montauban",france
3963,genève / paris,schweiz/suisse/svizzera/svizra
3964,bretagne - france...,france
3965,dans les tribunes.,-
3966,depuis 2015,france
3967,le village des vagins,-
3968,haïti,ayiti
3969,mali - senegal - africa,-
3970,"saint-georges, québec",canada
3971,"varsovie, pologne",polska
3972,✊🏿✊🏾✊🏽✊🏼✊🏻,-
3973,ça te regarde pas,-
3974,béjaïa                        ,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3975,nancy / chr metz-thionville,-
3976,sous le soleil du sud,australia
3977,planète terre et mars,-
3978,auray,france
3979,"couëron (44), france",france
3980,roergue auvernha lengadòc,-
3981,dans le cloud,-
3982,"brussels, belgium 🇧🇪",belgië / belgique / belgien
3983,favelas de rio,brasil
3984,"chatte, france",france
3985,"le pradet, 83220",france
3986,granville ,france
3987,🏡,-
3988,ile de france 95,france
3989,mark’s heart ღ,-
3990,paris - brussels - europe,-
3991,"england, united kingdom",united kingdom
3992,québec (québec),canada
3993,niro,nigeria
3994,"hyderabad, india",india
3995,blue again alberta ,-
3996,☁️,-
3997,"cantal, auvergne",france
3998,court philippe chatrier,france
3999,hauts-de-sud,france
4000,they/them,-
4001,procrastineville14caen,-
4002,kinshasa lingala autorisé 🇨🇩,-
4003,dix-sept  -  amour-soleil,-
4004,normandie bernay.,france
4005,ciudad de méxico. ,méxico
4006,tunis,تونس
4007,france - rhône alpes,france
4008,mandres les roses,france
4009,afrique ,africa
4010,run,nederland
4011,spain,españa
4012,vidzeme,latvija
4013,beijing,中国
4014,mont-tremblant,canada
4015,brusshell belgium,-
4016,香港,中国
4017,"france, aquitaine,cestas",france
4018,terrier,france
4019,ontario,canada
4020,err🙀r cat sans cat n0t f😼und,-
4021,en terre sainte,france
4022,in a better world🌏,united states
4023,"zurich, switzerland",schweiz/suisse/svizzera/svizra
4024,goma-rdc,république démocratique du congo
4025,"78, avenue d'iéna, paris",france
4026,duché de bourgogne,france
4027,"mèze, france",france
4028,ile jésus & sanibel island,-
4029,"strasbourg, alsace",france
4030,📍viens dm,-
4031,rassemblement national 🇨🇵❤,france
4032,sur mastodon,-
4033,rambouillet,france
4034,"kinshasa, drc",république démocratique du congo
4035,💊💊💊💊💊💊💊💊💊💊💊,-
4036,univers ✨✨✨,shqipëria
4037,93x,canada
4038,mpt,india
4039,absurdistan autoritaire,-
4040,milan,italia
4041,de par le monde,belgië / belgique / belgien
4042,jeune retraité.,-
4043,"brignoles, france",france
4044,"neuilly, france",france
4045,"gustine la best❤️, lau,cha,meg",-
4046,59000,france
4047,econe,schweiz/suisse/svizzera/svizra
4048,"alfred and plantagenet, ontario",canada
4049,la trinité sur mer,france
4050,🇫🇷 // 🇲🇦,-
4051,rambrouch luxembourg,lëtzebuerg
4052,كتبانستان,-
4053,bouchain,france
4054,"conches-en-ouche, france",france
